canale,famiglia,classe_abc,data_doc,qta,prezzo_medio,sconti,fatturato,costo_unitario,margine,lead_time,rotazione_magazzino,giacenza_media,ritardo_consegna
Estero,Viteria,C,2025-02-26,9,2.14,0.163,16.12,1.24,4.96,10,3.32,1.14,0
Estero,Viteria,C,2025-12-09,8,2.42,0.137,16.71,1.47,4.95,9,2.91,1.14,-1
B2B,Viteria,C,2025-06-21,20,2.06,0.13,35.84,1.39,8.04,11,3.41,4.67,3
B2B,Assemblati,B,2025-10-12,11,20.42,0.222,174.75,14.21,18.44,18,4.75,6.0,0
Retail,Torniti,C,2025-02-06,10,5.1,0.09,46.41,3.28,13.61,8,5.41,3.38,-5
Estero,Lamiere,C,2025-02-04,134,18.42,0.134,2137.53,12.07,520.15,23,3.74,89.18,5
B2B,Torniti,C,2025-01-30,5,4.39,0.14,18.88,2.73,5.23,20,1.99,2.8,-2
B2B,Viteria,B,2025-11-06,186,1.73,0.202,256.78,1.01,68.92,5,3.77,23.32,0
Retail,Torniti,B,2025-04-19,33,9.48,0.13,272.17,5.61,87.04,11,9.15,8.72,1
Retail,Viteria,C,2025-11-06,66,2.46,0.092,147.42,1.41,54.36,6,3.29,14.31,-1
Retail,Torniti,B,2026-01-01,58,5.9,0.137,295.32,3.88,70.28,11,5.23,8.9,2
Retail,Torniti,B,2025-09-21,45,6.17,0.13,241.56,3.53,82.71,7,8.91,5.32,-1
B2B,Torniti,B,2026-01-16,129,6.98,0.211,710.43,3.76,225.39,16,5.69,39.45,-1
Estero,Viteria,B,2025-12-27,8,2.25,0.145,15.39,1.25,5.39,13,3.95,1.55,-5
Estero,Assemblati,A,2025-10-12,21,15.01,0.219,246.18,10.76,20.22,27,6.74,11.49,-3
Retail,Torniti,A,2025-11-11,10,8.96,0.192,72.4,5.21,20.3,12,12.46,1.74,7
B2B,Viteria,C,2025-08-30,4,1.23,0.148,4.19,0.79,1.03,13,7.12,0.26,2
B2B,Viteria,C,2025-04-11,13,2.1,0.169,22.69,1.28,6.05,6,4.7,1.29,2
Retail,Torniti,B,2025-02-28,160,6.51,0.11,927.02,4.21,253.42,9,5.25,46.91,6
B2B,Viteria,A,2025-06-10,21,1.84,0.251,28.94,1.11,5.63,13,9.24,0.54,-1
Estero,Viteria,C,2025-07-14,178,1.94,0.105,309.06,1.28,81.22,5,3.56,33.42,-1
B2B,Viteria,B,2025-05-29,198,2.41,0.18,391.29,1.4,114.09,8,2.96,22.51,-5
Retail,Viteria,C,2025-02-28,490,2.39,0.073,1085.61,1.34,429.01,6,3.53,58.69,-2
Estero,Lamiere,C,2025-07-25,165,11.36,0.123,1643.85,7.35,431.1,22,4.29,64.0,0
B2B,Torniti,B,2025-07-22,259,7.11,0.178,1513.7,3.94,493.24,9,11.16,28.17,-1
B2B,Viteria,B,2026-01-05,34,3.08,0.223,81.37,1.76,21.53,4,8.79,2.61,2
Retail,Torniti,B,2026-01-05,31,9.78,0.145,259.22,6.03,72.29,15,11.79,3.57,2
Retail,Viteria,C,2025-09-03,33,2.22,0.109,65.27,1.35,20.72,10,6.3,2.83,2
B2B,Viteria,A,2025-11-28,25,1.46,0.218,28.54,0.91,5.79,7,16.29,0.52,-4
Retail,Viteria,C,2025-05-16,28,1.93,0.115,47.83,1.24,13.11,3,3.53,2.48,-1
Estero,Torniti,C,2026-01-10,52,8.47,0.163,368.65,4.51,134.13,13,3.95,15.54,1
B2B,Assemblati,C,2025-12-31,15,14.42,0.167,180.18,10.71,19.53,25,1.95,22.58,6
B2B,Lamiere,C,2025-03-08,6,12.01,0.124,63.12,7.59,17.58,21,3.66,5.95,1
B2B,Viteria,B,2025-10-04,35,2.58,0.181,73.96,1.54,20.06,1,7.31,3.36,-2
B2B,Viteria,B,2025-07-08,12,1.87,0.192,18.13,1.02,5.89,1,5.43,0.63,1
B2B,Viteria,C,2025-04-29,14,1.37,0.138,16.53,0.89,4.07,8,2.04,1.44,-1
B2B,Assemblati,B,2025-06-21,21,31.03,0.241,494.59,20.25,69.34,23,10.44,9.76,2
Retail,Viteria,A,2025-12-18,17,3.5,0.18,48.79,2.0,14.79,5,11.53,1.74,0
B2B,Assemblati,B,2025-12-25,74,20.4,0.189,1224.29,13.77,205.31,22,10.96,47.98,0
Estero,Torniti,B,2025-05-27,21,9.84,0.158,173.99,5.85,51.14,17,7.78,6.85,-1
B2B,Lamiere,C,2025-07-09,78,11.23,0.155,740.17,7.56,150.49,18,5.65,55.11,0
B2B,Assemblati,B,2025-07-29,30,21.57,0.218,506.03,16.23,19.13,19,9.01,10.64,0
Retail,Viteria,C,2025-10-16,22,2.02,0.102,39.91,1.24,12.63,6,2.76,5.02,-5
Estero,Torniti,C,2025-07-15,29,5.09,0.126,129.01,3.25,34.76,16,2.93,15.17,2
B2B,Viteria,B,2025-06-15,7,3.44,0.169,20.01,2.18,4.75,6,5.16,1.1,0
B2B,Assemblati,C,2025-12-25,34,,0.174,355.54,8.64,61.78,16,2.5,52.81,-2
B2B,Lamiere,A,2025-06-07,57,12.93,0.237,562.34,8.45,80.69,17,18.55,8.87,-2
B2B,Viteria,A,2025-04-28,66,1.93,0.236,97.32,1.31,10.86,10,10.15,3.9,1
B2B,Assemblati,A,2025-05-21,6,20.48,0.193,99.16,15.75,4.66,21,11.74,1.61,5
B2B,Viteria,B,2025-05-23,5,1.76,0.187,7.15,1.15,1.4,7,3.77,0.29,2
B2B,Viteria,B,2025-08-12,14,1.76,0.182,20.16,1.16,3.92,12,7.99,0.66,3
B2B,Torniti,B,2025-09-19,98,6.73,0.153,558.63,4.16,150.95,17,5.2,20.26,0
Estero,Lamiere,B,2025-03-12,31,14.88,0.19,373.64,10.32,53.72,27,9.33,8.16,3
Retail,Assemblati,A,2025-12-11,11,22.49,0.179,203.11,16.24,24.47,27,7.87,4.24,1
B2B,Torniti,C,2025-04-24,6,6.39,0.188,31.13,4.27,5.51,14,5.58,1.56,-2
B2B,Torniti,A,2025-03-04,12,4.67,0.268,41.02,2.72,8.38,11,13.9,1.1,0
B2B,Viteria,C,2025-09-22,12,2.98,0.136,30.9,1.88,8.34,6,2.97,3.3,-3
B2B,Viteria,C,2025-04-08,63,2.06,0.177,106.81,1.14,34.99,10,5.75,4.77,-2
Retail,Assemblati,C,2025-10-22,68,23.71,0.132,1399.46,15.71,331.18,24,5.23,41.08,0
Estero,Viteria,C,2026-01-03,9,1.69,0.119,13.4,1.17,2.87,9,4.15,0.98,-1
Estero,Lamiere,C,2025-10-01,52,10.27,0.109,475.83,7.24,99.35,23,2.47,47.84,1
Estero,Viteria,C,2025-11-01,47,2.45,0.087,105.13,1.5,34.63,10,4.63,5.03,-6
Estero,Viteria,C,2025-07-21,8,1.9,0.138,13.1,1.18,3.66,12,3.58,1.04,-3
Estero,Torniti,C,2025-05-28,23,8.35,0.111,170.73,4.56,65.85,18,3.56,9.64,4
B2B,Torniti,B,2025-09-02,34,4.64,0.198,126.52,2.7,34.72,15,6.16,5.06,0
B2B,Torniti,C,2025-06-01,29,9.57,0.139,238.95,5.18,88.73,20,3.46,29.55,2
B2B,Assemblati,C,2025-12-07,4,22.55,0.134,78.11,15.97,14.23,23,2.59,10.05,2
Retail,Viteria,A,2025-07-12,28,2.2,0.179,50.57,1.42,10.81,5,5.88,3.84,-1
B2B,Lamiere,B,2025-07-23,46,13.49,0.164,518.77,9.42,85.45,16,3.28,53.52,-2
Retail,Viteria,C,2025-09-24,119,2.71,0.089,293.79,1.85,73.64,5,3.89,13.53,-2
Retail,Torniti,C,2025-04-01,13,5.82,0.085,69.23,3.56,22.95,9,1.5,16.14,4
B2B,Viteria,B,2025-08-14,14,2.74,0.19,31.07,1.43,11.05,8,7.74,1.64,-2
B2B,Torniti,B,2025-10-24,20,7.33,0.192,118.45,4.97,19.05,7,7.16,7.01,3
B2B,Viteria,A,2025-11-01,33,1.51,0.219,38.92,0.89,9.55,7,8.99,1.37,-2
B2B,Assemblati,C,2025-04-14,27,13.68,0.172,305.83,9.94,37.45,22,5.01,11.36,0
Estero,Assemblati,C,2025-02-10,45,25.34,0.127,995.48,18.35,169.73,23,3.2,106.68,1
Retail,Assemblati,C,2025-04-02,8,23.72,0.13,165.09,17.31,26.61,19,4.05,7.86,0
Retail,Viteria,B,2025-11-16,36,2.54,0.145,78.18,1.58,21.3,9,3.02,4.32,-3
B2B,Assemblati,B,2025-04-28,12,18.12,0.191,175.91,13.09,18.83,26,2.74,13.71,1
B2B,Viteria,C,2025-02-12,21,1.4,0.14,25.28,0.79,8.69,6,3.22,1.41,-5
B2B,Viteria,C,2025-08-27,135,2.04,0.162,230.79,1.48,30.99,10,4.06,16.12,0
Retail,Viteria,B,2025-12-09,6,2.14,0.141,11.03,1.38,2.75,2,8.37,0.57,-1
Retail,Viteria,B,2025-04-13,19,2.24,0.157,35.88,1.39,9.47,5,5.64,2.21,1
B2B,Torniti,A,2025-02-06,7,11.78,0.272,60.03,7.94,4.45,15,10.9,1.97,-1
Estero,Viteria,C,2025-03-14,29,2.46,0.115,63.14,1.42,21.96,17,4.61,5.36,2
B2B,Lamiere,C,2025-03-09,70,15.13,0.162,887.53,10.81,130.83,22,3.35,58.75,2
Estero,Torniti,B,2025-04-06,29,14.12,0.182,334.95,8.16,98.31,19,7.37,14.62,1
B2B,Assemblati,C,2025-03-28,22,19.82,0.159,366.71,14.59,45.73,19,2.36,56.54,6
B2B,Torniti,C,2025-09-11,93,6.7,0.141,535.24,4.13,151.15,18,1.96,65.87,2
Retail,Torniti,C,2025-04-13,34,6.86,0.092,211.78,3.47,93.8,11,2.9,19.45,-2
B2B,Viteria,B,2025-08-10,56,1.61,0.178,74.11,0.91,23.15,9,7.87,3.39,3
B2B,Assemblati,B,2025-06-17,50,10.79,0.178,443.47,8.45,20.97,22,4.68,37.2,2
B2B,Viteria,C,2025-09-17,1,2.19,0.133,1.9,1.34,0.56,14,4.4,0.11,4
B2B,Viteria,C,2025-09-18,23,1.31,0.148,25.67,0.92,4.51,6,2.44,3.55,-6
Retail,Viteria,C,2025-08-26,8,2.82,0.085,20.64,1.9,5.44,9,2.85,2.53,-1
Estero,Torniti,C,2025-12-13,11,7.07,0.139,66.96,4.18,20.98,18,3.81,7.53,0
Estero,Lamiere,B,2025-04-03,107,13.63,0.171,1209.02,9.1,235.32,24,4.75,98.31,-4
B2B,Torniti,B,2025-08-01,17,6.43,0.193,88.21,4.28,15.45,19,5.04,3.65,1
B2B,Viteria,B,2025-06-14,163,2.55,0.185,338.75,1.8,45.35,2,2.41,47.47,-2
B2B,Lamiere,C,2025-08-04,6,16.24,0.151,82.73,10.86,17.57,18,4.7,7.7,-5
B2B,Lamiere,B,2025-03-14,8,11.91,0.185,77.65,8.83,7.01,15,5.76,3.55,-2
B2B,Viteria,C,2025-05-18,53,1.44,0.166,63.65,0.95,13.3,9,2.51,9.63,3
Estero,Lamiere,C,2025-12-31,17,16.63,0.121,248.5,12.11,42.63,24,6.65,11.65,3
Estero,Torniti,C,2025-11-10,33,5.6,0.138,159.3,3.38,47.76,17,2.66,16.85,-1
Retail,Lamiere,C,2025-06-26,22,10.17,0.074,207.18,6.64,61.1,14,2.92,22.78,-2
B2B,Viteria,C,2025-03-03,21,2.04,0.164,35.81,1.18,11.03,9,2.5,3.98,2
B2B,Torniti,B,2025-09-15,18,8.81,0.179,130.19,4.83,43.25,10,8.83,3.62,-5
B2B,Viteria,C,2025-05-11,29,1.63,0.132,41.03,1.14,7.97,9,5.78,2.69,1
B2B,Viteria,B,2025-05-22,47,1.99,0.167,77.91,1.23,20.1,6,9.57,2.52,-6
B2B,Viteria,A,2025-02-26,123,1.62,0.216,156.22,0.93,41.83,10,15.9,4.23,4
B2B,Lamiere,C,2025-05-07,20,14.37,0.14,247.16,10.35,40.16,14,2.84,13.28,2
B2B,Viteria,C,2025-04-10,17,2.37,0.18,33.04,1.42,8.9,6,6.28,2.0,-6
Estero,Torniti,B,2025-02-03,15,6.7,0.157,84.72,3.85,26.97,16,5.6,2.98,-1
B2B,Viteria,A,2025-08-24,107,1.39,0.196,119.58,0.98,14.72,7,5.83,7.76,0
Estero,Torniti,B,2026-01-10,49,4.97,0.177,200.43,2.72,67.15,22,5.17,15.94,-4
B2B,Viteria,C,2025-03-08,4,2.27,0.128,7.92,1.43,2.2,11,3.92,0.78,0
Retail,Torniti,C,2025-02-10,4,6.12,0.116,21.64,3.53,7.52,11,2.79,2.55,1
B2B,Torniti,B,2025-02-27,11,7.13,0.182,64.16,4.06,19.5,13,6.32,1.9,-5
B2B,Lamiere,C,2025-08-09,31,14.57,0.145,386.18,9.05,105.63,21,4.22,40.09,3
B2B,Viteria,C,2025-11-19,24,1.59,0.174,31.52,0.99,7.76,5,4.04,1.93,-1
B2B,Lamiere,C,2025-05-15,41,11.51,0.162,395.46,7.42,91.24,18,4.4,14.24,3
Estero,Assemblati,B,2025-03-06,21,25.42,0.145,456.42,18.9,59.52,24,5.63,12.21,1
B2B,Assemblati,C,2025-02-26,99,14.71,0.128,1269.88,10.56,224.44,21,2.71,174.12,-2
Retail,Viteria,B,2025-08-31,53,1.79,0.104,85.0,1.09,27.23,8,3.59,9.47,-4
B2B,Torniti,B,2025-06-01,27,6.13,0.242,125.46,3.47,31.77,12,5.82,8.43,-1
B2B,Viteria,B,2025-05-30,77,2.48,0.173,157.92,1.68,28.56,11,4.97,10.1,-1
B2B,Viteria,B,2025-04-19,5,2.69,0.213,10.59,1.75,1.84,15,5.76,0.62,3
B2B,Torniti,C,2025-12-15,23,6.34,0.139,125.55,3.63,42.06,16,1.7,31.17,0
Estero,Lamiere,B,2025-06-07,28,11.05,0.148,263.61,6.91,70.13,22,3.53,26.07,-3
Retail,Lamiere,B,2025-10-07,45,19.57,0.14,757.36,11.83,225.01,19,7.17,26.97,-1
Retail,Assemblati,A,2025-10-19,4,14.82,0.183,48.43,11.34,3.07,17,5.64,3.74,-3
B2B,Viteria,A,2025-02-12,19,1.91,0.256,27.0,1.25,3.25,13,9.36,1.27,1
B2B,Torniti,C,2025-04-22,37,6.43,0.166,198.42,4.13,45.61,12,2.62,25.63,1
Estero,Lamiere,B,2025-12-14,40,18.24,0.158,614.32,12.32,121.52,29,4.39,44.76,4
B2B,Viteria,A,2025-12-10,80,2.55,0.211,160.96,1.66,28.16,6,10.3,6.74,-2
B2B,Lamiere,C,2025-06-22,53,9.48,0.126,439.13,6.84,76.61,20,3.54,47.56,-1
B2B,Assemblati,B,2025-03-20,23,18.77,0.144,369.54,13.46,59.96,17,7.26,9.45,-1
Retail,Lamiere,C,2025-05-10,48,,0.095,565.15,8.66,149.47,15,2.38,103.88,0
Retail,Viteria,C,2026-01-03,20,2.09,0.1,37.62,1.21,13.42,3,2.57,5.38,-3
Retail,Torniti,C,2025-09-24,28,9.48,0.077,245.0,5.85,81.2,8,5.19,17.55,3
Retail,Assemblati,C,2025-02-18,54,20.69,0.075,1033.47,15.36,204.03,24,3.24,86.21,0
B2B,Assemblati,A,2025-10-11,23,18.89,0.24,330.2,13.29,24.53,18,11.37,4.43,0
Estero,Torniti,C,2025-03-16,35,9.08,0.117,280.62,5.34,93.72,16,2.94,22.1,-2
B2B,Lamiere,C,2025-05-12,64,17.53,0.146,958.12,11.77,204.84,15,4.1,58.27,-2
Retail,Torniti,B,2025-07-16,50,8.73,0.133,378.45,5.51,102.95,15,2.51,43.24,-3
B2B,Assemblati,C,2025-05-30,84,18.54,0.155,1315.97,12.33,280.25,25,5.24,90.51,-1
Estero,Assemblati,B,2025-10-03,252,15.01,0.159,3181.1,10.14,625.82,30,5.12,177.19,7
B2B,Assemblati,C,2025-03-20,50,26.76,0.14,1150.68,18.11,245.18,20,2.26,133.21,2
B2B,Lamiere,C,2025-12-08,15,13.58,0.112,180.89,9.15,43.64,22,2.41,16.85,0
B2B,Viteria,A,2025-08-26,41,1.86,0.239,58.03,1.18,9.65,6,9.12,2.42,-3
B2B,Torniti,C,2025-05-13,39,6.64,0.152,219.6,3.7,75.3,12,3.37,25.17,3
B2B,Viteria,C,2026-01-06,45,1.97,0.146,75.71,1.29,17.66,6,3.68,5.33,-3
Retail,Viteria,C,2025-07-15,109,2.73,0.138,256.51,1.85,54.86,4,2.31,23.9,-5
B2B,Lamiere,A,2025-06-23,5,15.01,0.243,56.81,10.46,4.51,18,13.57,0.9,2
Estero,Torniti,C,2025-01-29,111,10.7,0.127,1036.86,6.9,270.96,15,2.91,124.3,-2
B2B,Assemblati,C,2026-01-20,156,19.13,0.16,2506.8,13.07,467.88,23,2.86,334.63,-2
Retail,Torniti,B,2025-11-26,43,12.6,0.182,443.19,7.11,137.46,4,5.54,30.84,-4
B2B,Assemblati,C,2025-03-27,44,23.45,0.155,871.87,17.37,107.59,23,4.41,81.3,2
Retail,Torniti,C,2026-01-02,19,8.0,0.056,143.49,4.79,52.48,9,3.46,15.61,-1
Retail,Torniti,C,2025-11-08,25,5.36,0.109,119.39,3.02,43.89,10,2.89,12.22,-3
B2B,Viteria,C,2025-06-24,49,1.84,0.132,78.26,1.25,17.01,6,3.13,5.76,0
Estero,Torniti,B,2025-12-26,46,10.56,0.132,421.64,6.46,124.48,21,9.19,12.03,-1
B2B,Viteria,C,2025-08-14,50,1.48,0.184,60.38,0.96,12.38,10,5.06,2.81,-5
B2B,Viteria,C,2025-09-30,46,1.84,0.18,69.4,1.09,19.26,8,3.98,3.14,-4
Retail,Viteria,B,2025-03-29,60,2.34,0.122,123.27,1.61,26.67,4,6.32,3.77,-1
Retail,Assemblati,B,2025-03-02,54,28.48,0.122,1350.29,20.33,252.47,22,13.48,15.41,-1
B2B,Torniti,A,2025-08-02,9,5.9,0.243,40.2,3.78,6.18,19,11.76,0.71,1
B2B,Assemblati,C,2025-05-21,56,14.48,0.132,703.84,10.09,138.8,22,3.73,75.59,4
Estero,Assemblati,B,2026-01-15,157,22.83,0.167,2985.73,16.59,381.1,21,5.59,166.19,-1
Retail,Assemblati,C,2025-02-22,24,18.68,0.086,409.76,13.87,76.88,18,3.97,27.54,7
Estero,Viteria,C,2025-10-27,110,1.25,0.122,120.72,0.87,25.02,14,1.21,22.07,1
B2B,Assemblati,C,2025-08-29,10,28.52,0.122,250.41,20.03,50.11,21,5.02,16.31,0
Retail,Assemblati,B,2025-12-08,24,28.37,0.157,573.98,20.66,78.14,17,3.84,66.07,-3
B2B,Assemblati,C,2026-01-21,13,28.82,0.174,309.47,21.43,30.88,19,2.72,28.94,0
Estero,Viteria,A,2025-12-05,97,2.46,0.218,186.6,1.39,51.77,12,6.13,12.31,-1
B2B,Viteria,C,2025-06-07,127,2.13,0.149,230.2,1.14,85.42,3,2.7,36.81,1
Retail,Assemblati,B,2025-10-02,22,24.68,0.153,459.89,16.79,90.51,20,5.33,33.31,-1
B2B,Viteria,C,2025-03-22,79,1.72,0.15,115.5,1.13,26.23,8,4.78,7.91,0
Retail,Lamiere,B,2025-07-18,128,17.05,0.175,1800.48,12.76,167.2,90,9.42,45.99,9
Retail,Lamiere,B,2025-04-30,24,13.06,0.114,277.71,8.4,76.11,90,11.84,3.75,12
B2B,Viteria,C,2025-04-23,28,1.38,0.167,32.19,0.79,10.07,11,3.63,3.29,2
Estero,Viteria,B,2025-08-18,51,1.82,0.168,77.23,1.24,13.99,8,5.56,6.07,0
B2B,Assemblati,C,2025-03-09,11,24.86,0.128,238.46,17.34,47.72,23,4.6,18.49,3
Retail,Assemblati,C,2025-08-17,27,16.53,0.145,381.6,11.66,66.78,22,2.6,23.61,4
B2B,Assemblati,B,2025-06-17,209,13.28,0.238,2114.95,10.34,-46.11,22,4.28,94.79,2
B2B,Viteria,B,2025-04-15,15,2.09,0.186,25.52,1.4,4.52,12,5.28,1.29,0
B2B,Viteria,C,2025-08-15,58,1.62,0.159,79.02,1.06,17.54,5,3.46,10.2,0
B2B,Lamiere,C,2025-10-23,41,13.55,0.141,477.22,8.29,137.33,16,1.7,49.26,4
B2B,Lamiere,C,2025-09-01,21,15.37,0.144,276.29,9.68,73.01,17,5.08,13.34,1
Retail,Viteria,B,2025-02-23,31,2.53,0.117,69.25,1.68,17.17,16,6.53,3.35,2
Retail,Torniti,C,2025-08-15,142,6.94,0.074,912.55,4.25,309.05,14,4.63,36.18,-2
Retail,Assemblati,B,2025-09-06,43,31.01,0.177,1097.41,21.36,178.93,22,3.46,58.77,5
B2B,Lamiere,C,2025-09-28,50,14.45,0.149,614.85,9.63,133.35,20,2.77,37.87,2
B2B,Lamiere,C,2025-06-26,122,12.08,0.151,1251.22,8.75,183.72,18,2.72,138.39,0
B2B,Lamiere,C,2025-02-25,18,11.94,0.134,186.12,8.85,26.82,21,3.26,13.47,1
Retail,Viteria,B,2025-03-09,9,2.47,0.144,19.03,1.53,5.26,1,5.93,0.52,-2
Estero,Viteria,B,2025-05-23,144,1.83,0.14,226.63,1.08,71.11,13,8.13,8.38,0
B2B,Lamiere,B,2025-09-10,28,7.98,0.175,184.34,5.34,34.82,19,6.21,10.96,1
Retail,Lamiere,A,2025-10-18,60,18.09,0.166,905.22,13.27,109.02,19,7.71,41.17,0
B2B,Lamiere,B,2025-09-24,11,14.26,0.216,122.98,10.45,8.03,15,12.9,3.39,-4
B2B,Assemblati,C,2025-05-15,36,10.13,0.117,322.01,7.37,56.69,19,3.19,31.82,5
B2B,Viteria,B,2025-07-01,8,2.05,0.166,13.68,1.23,3.84,5,4.37,1.2,0
B2B,Viteria,B,2025-02-08,26,2.79,0.149,61.73,1.85,13.63,10,3.1,3.36,0
Retail,Viteria,C,2025-11-09,13,1.7,0.082,20.29,1.16,5.21,8,3.61,1.16,-1
Estero,Viteria,B,2025-05-31,10,1.94,0.161,16.28,1.09,5.38,9,7.64,0.77,2
B2B,Torniti,B,2025-07-26,18,6.21,0.21,88.31,3.67,22.25,20,4.03,5.49,1
B2B,Assemblati,C,2025-07-05,2,27.26,0.146,46.56,20.89,4.78,23,4.36,2.37,0
Retail,Assemblati,A,2025-05-06,8,29.78,0.182,194.88,21.53,22.64,20,10.3,2.99,0
Estero,Torniti,B,2025-03-24,54,5.74,0.176,255.41,3.33,75.59,17,3.23,32.46,3
Retail,Lamiere,C,2026-01-05,35,16.34,0.091,519.86,11.23,126.81,19,4.36,47.86,1
B2B,Viteria,B,2025-03-06,8,3.2,0.238,19.51,2.03,3.27,9,5.47,0.6,-1
Retail,Lamiere,B,2026-01-01,42,12.83,0.128,469.89,8.15,127.59,22,4.05,28.0,0
B2B,Viteria,B,2025-03-04,10,1.79,0.198,14.36,1.12,3.16,4,8.39,0.37,-2
Estero,Assemblati,B,2025-02-25,50,22.51,0.187,915.03,16.54,88.03,21,8.33,23.29,4
B2B,Lamiere,C,2025-12-17,22,10.3,0.138,195.33,6.8,45.73,16,2.34,18.98,-2
Retail,Viteria,B,2026-01-02,18,3.5,0.143,53.99,2.06,16.91,8,6.65,1.94,1
B2B,Viteria,B,2025-12-14,22,1.6,0.18,28.86,0.96,7.74,7,6.44,1.62,1
B2B,Viteria,B,2025-11-01,317,1.27,0.195,324.08,0.74,89.5,12,5.86,24.39,0
Estero,Assemblati,C,2025-07-20,11,17.36,0.132,165.75,13.09,21.76,25,2.92,9.29,1
Retail,Viteria,A,2025-03-01,31,2.65,0.187,66.79,1.54,19.05,9,9.49,1.74,-4
B2B,Viteria,C,2025-08-25,54,1.47,0.127,69.3,0.92,19.62,6,4.86,4.99,1
Estero,Viteria,B,2025-07-30,9,2.14,0.207,15.27,1.29,3.66,16,6.92,0.53,-4
Estero,Assemblati,C,2025-10-17,5,22.79,0.142,97.77,15.77,18.92,30,1.78,11.39,2
B2B,Lamiere,B,2025-02-03,13,8.87,0.158,97.09,6.52,12.33,16,2.83,6.87,0
B2B,Torniti,A,2025-02-19,52,5.65,0.232,225.64,3.36,50.92,15,5.22,14.24,2
B2B,Lamiere,B,2025-08-24,17,13.09,0.159,187.15,8.55,41.8,19,3.73,9.8,-2
Retail,Viteria,B,2025-11-30,19,2.68,0.155,43.03,1.58,13.01,8,4.61,1.67,-3
B2B,Assemblati,C,2025-12-28,61,15.73,0.15,815.6,11.54,111.66,26,2.99,102.27,3
B2B,Viteria,C,2025-08-17,11,1.87,0.15,17.48,1.22,4.06,11,3.42,1.29,-1
Estero,Viteria,C,2025-06-05,22,1.84,0.113,35.91,1.23,8.85,14,3.46,4.34,-5
Estero,Torniti,A,2025-07-13,5,8.58,0.214,33.72,5.09,8.27,20,9.83,1.03,1
Retail,Viteria,C,2025-07-26,34,2.56,0.116,76.94,1.56,23.9,2,5.22,2.79,3
Estero,Viteria,B,2025-09-04,31,1.8,0.191,45.14,1.13,10.11,12,3.34,2.81,1
Retail,Assemblati,C,2025-04-15,54,25.36,0.117,1209.22,18.43,214.0,17,3.93,127.52,-3
Retail,Lamiere,C,2025-06-12,8,13.53,0.069,100.77,8.78,30.53,16,3.93,4.81,1
Retail,Viteria,C,2025-08-07,20,2.52,0.096,45.56,1.71,11.36,9,2.25,4.95,2
B2B,Viteria,C,2025-11-28,7,2.03,0.155,12.01,1.26,3.19,8,4.22,0.69,-5
B2B,Torniti,C,2025-11-10,19,11.76,0.135,193.28,7.31,54.39,6,3.99,21.62,-2
B2B,Viteria,C,2025-10-24,108,1.65,0.117,157.35,1.05,43.95,5,3.45,20.17,2
Retail,Viteria,B,2025-04-10,18,2.17,0.114,34.61,1.38,9.77,8,2.57,4.82,-5
B2B,Torniti,C,2025-06-19,6,5.53,0.18,27.21,3.1,8.61,12,4.9,1.23,-1
B2B,Torniti,B,2025-08-12,12,5.02,0.166,50.24,3.01,14.12,16,6.5,1.58,0
Retail,Assemblati,A,2026-01-10,5,20.07,0.191,81.18,16.28,-0.22,16,11.52,1.18,-1
B2B,Lamiere,C,2025-05-31,7,14.17,0.147,84.61,10.54,10.83,19,1.07,13.32,4
B2B,Viteria,A,2025-12-23,48,2.16,0.237,79.11,1.35,14.31,9,8.3,4.12,2
Retail,Lamiere,C,2025-10-21,6,16.15,0.094,87.79,10.75,23.29,18,2.12,13.71,0
Estero,Torniti,A,2025-09-10,34,6.64,0.236,172.48,3.39,57.22,16,15.73,2.3,-2
B2B,Viteria,B,2025-10-05,25,1.59,0.191,32.16,0.95,8.41,10,4.08,3.03,3
B2B,Torniti,C,2025-11-07,14,5.17,0.137,62.46,3.09,19.2,19,5.87,1.84,3
B2B,Viteria,A,2025-10-04,31,1.57,0.241,36.94,0.95,7.49,1,13.96,0.81,-2
Retail,Assemblati,C,2025-09-24,10,16.28,0.074,150.75,11.56,35.15,20,3.78,8.32,2
Retail,Assemblati,C,2025-06-08,57,31.59,0.11,1602.56,23.53,261.35,15,5.21,87.54,2
B2B,Lamiere,C,2025-06-27,12,19.0,0.136,196.99,12.16,51.07,15,2.51,17.17,-2
Retail,Assemblati,A,2025-08-28,17,,0.178,193.82,10.14,21.44,18,7.65,4.84,-1
B2B,Assemblati,C,2025-11-25,15,19.35,0.16,243.81,13.85,36.06,22,4.83,21.61,1
B2B,Viteria,B,2025-09-16,49,1.93,0.182,77.36,1.13,21.99,9,4.32,7.63,-5
Estero,Lamiere,B,2026-01-17,42,13.91,0.163,488.99,10.39,52.61,25,3.77,38.65,0
B2B,Torniti,B,2025-09-27,2,5.6,0.213,8.81,3.53,1.75,15,5.36,0.63,-2
B2B,Viteria,B,2025-06-19,32,2.32,0.171,61.54,1.37,17.7,10,4.41,2.94,0
B2B,Lamiere,B,2025-08-19,4,13.3,0.2,42.56,9.32,5.28,15,11.53,0.99,-3
Retail,Viteria,A,2025-09-06,17,2.91,0.209,39.13,1.64,11.25,9,13.12,0.65,0
Estero,Assemblati,B,2025-12-04,22,16.47,0.193,292.41,11.42,41.17,16,4.9,10.45,1
Estero,Lamiere,C,2025-04-25,17,9.34,0.174,131.15,6.85,14.7,27,2.47,14.72,1
